unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"8F1B26BD-A524-53DB-E053-6C04A8C03649","305000","2019-07-12","WA14 1LT","S","N","F","","1","BRIEN AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-A524-53DB-E053-6C04A8C03649/current"
"87E1551E-27ED-6405-E053-6C04A8C0B2EE","225000","2019-03-22","WA14 1LT","S","N","F","","19","BRIEN AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-27ED-6405-E053-6C04A8C0B2EE/current"
"965B6D91-59BD-95E4-E053-6C04A8C07729","295000","2019-08-05","WA14 1LT","S","N","F","","21","BRIEN AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-59BD-95E4-E053-6C04A8C07729/current"
"8A78B2AF-8C38-5CB0-E053-6B04A8C0F504","288200","2019-05-10","WA14 1LT","S","N","F","","33","BRIEN AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8C38-5CB0-E053-6B04A8C0F504/current"
"8CAC1318-3746-0253-E053-6B04A8C08E51","275000","2019-06-07","WA14 1LX","S","N","F","","1","RYDER AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-3746-0253-E053-6B04A8C08E51/current"
"8A78B2AF-8690-5CB0-E053-6B04A8C0F504","190000","2019-05-10","WA14 1LX","S","N","F","","3","RYDER AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8690-5CB0-E053-6B04A8C0F504/current"
"8F1B26BD-A765-53DB-E053-6C04A8C03649","282500","2019-07-09","WA14 1LX","S","N","F","","4","RYDER AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-A765-53DB-E053-6C04A8C03649/current"
"87E1551E-2381-6405-E053-6C04A8C0B2EE","255000","2019-03-29","WA14 1LX","S","N","F","","8","RYDER AVENUE","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-2381-6405-E053-6C04A8C0B2EE/current"
"919FEC05-31C0-9A90-E053-6C04A8C0A300","307000","2019-07-26","WA14 1LZ","T","N","F","","56","BRIDGEWATER ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-31C0-9A90-E053-6C04A8C0A300/current"
"8A78B2AF-8765-5CB0-E053-6B04A8C0F504","280000","2019-05-03","WA14 1LZ","S","N","F","","84","BRIDGEWATER ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8765-5CB0-E053-6B04A8C0F504/current"
